Species	PDI	Box	Id	is.exploring	speed_cm_per_min	sinuosity	Body_mass_g	Shell_size_cm	Foot_dry_mass_mg
Cepaea_nemoralis	0.53	C_nemoralis_4	C_nemoralis_4_J71	1	4.29	0.33	4.64	2.4	84.8
Cepaea_nemoralis	0.53	C_nemoralis_4	C_nemoralis_4_J72	0	NA	NA	5.06	2.35	106.8
Cepaea_sylvatica	0.67	C_sylvatica_1	C_sylvatica_1_B84	1	3.64	0.53	4.0429	2.3	64.8
Cepaea_sylvatica	0.67	C_sylvatica_1	C_sylvatica_1_B85	0	NA	NA	2.1612	2.1	18
Cepaea_sylvatica	0.67	C_sylvatica_1	C_sylvatica_1_B87	1	3.37	0.33	2.7726	2.15	55.5
Cepaea_sylvatica	0.67	C_sylvatica_1	C_sylvatica_1_B88	0	NA	NA	3.3224	2.3	49
Cepaea_sylvatica	0.67	C_sylvatica_1	C_sylvatica_1_B89	1	3.05	0.47	4.3862	2.35	81.4
Cepaea_sylvatica	0.67	C_sylvatica_2	C_sylvatica_2_B46	1	3.34	0.51	4.5339	2.3	69.7
Cepaea_sylvatica	0.67	C_sylvatica_2	C_sylvatica_2_B59	0	NA	NA	2.9016	2.2	57.7
Cepaea_sylvatica	0.67	C_sylvatica_2	C_sylvatica_2_B61	0	NA	NA	2.9459	2.2	47.5
Cepaea_sylvatica	0.67	C_sylvatica_2	C_sylvatica_2_B62	1	4.87	0.42	3.6125	2.15	57.4
Cepaea_sylvatica	0.67	C_sylvatica_2	C_sylvatica_2_B64	1	4.44	0.31	2.9468	1.95	37.4
Cepaea_sylvatica	0.67	C_sylvatica_3	C_sylvatica_3_B26	1	4.12	0.4	2.2881	2.1	44.6
Cepaea_sylvatica	0.67	C_sylvatica_3	C_sylvatica_3_B51	1	4.35	0.36	2.9531	2	21
Cepaea_sylvatica	0.67	C_sylvatica_3	C_sylvatica_3_B57	1	4.54	0.38	2.9246	2	20.1
Cepaea_sylvatica	0.67	C_sylvatica_3	C_sylvatica_3_B90	1	2.84	0.6	2.1376	1.9	37.7
Cepaea_sylvatica	0.67	C_sylvatica_3	C_sylvatica_3_B91	1	5.17	0.31	1.7864	1.85	12.2
Cepaea_sylvatica	0.67	C_sylvatica_4	C_sylvatica_4_B93	0	NA	NA	3.9398	2.29	39
Cepaea_sylvatica	0.67	C_sylvatica_4	C_sylvatica_4_B94	1	5.31	1.52	3.8981	2.25	66.5
Cepaea_sylvatica	0.67	C_sylvatica_4	C_sylvatica_4_B95	1	3.39	0.4	2.8164	2.05	29.4
Cepaea_sylvatica	0.67	C_sylvatica_4	C_sylvatica_4_B96	0	NA	NA	2.4499	1.95	47.3
Cepaea_sylvatica	0.67	C_sylvatica_4	C_sylvatica_4_B97	1	3.63	0.37	2.7927	2.05	35.8
Elona_quimperiana	0.87	E_quimperiana_1	E_quimperiana_1_blanc	0	NA	NA	1.25	1.73	19.2
Elona_quimperiana	0.87	E_quimperiana_1	E_quimperiana_1_bleu	0	NA	NA	1.4251	1.7	17.5
Elona_quimperiana	0.87	E_quimperiana_1	E_quimperiana_1_jaune	0	NA	NA	1.2954	1.63	15.3
Elona_quimperiana	0.87	E_quimperiana_1	E_quimperiana_1_noir	0	NA	NA	1.1154	1.54	15.8
Elona_quimperiana	0.87	E_quimperiana_1	E_quimperiana_1_orange	0	NA	NA	0.9583	1.51	23.3
Elona_quimperiana	0.87	E_quimperiana_2	E_quimperiana_2_blanc	1	0.32	1.6	3.0441	2.18	55.7
Elona_quimperiana	0.87	E_quimperiana_2	E_quimperiana_2_bleu	0	NA	NA	3.0295	2.25	42
Elona_quimperiana	0.87	E_quimperiana_2	E_quimperiana_2_jaune	0	NA	NA	3.6207	2.28	53.5
Elona_quimperiana	0.87	E_quimperiana_2	E_quimperiana_2_noir	0	NA	NA	2.0016	1.96	28.3
Elona_quimperiana	0.87	E_quimperiana_2	E_quimperiana_2_orange	0	NA	NA	3.1217	2.18	29.5
Elona_quimperiana	0.87	E_quimperiana_3	E_quimperiana_3_blanc	0	NA	NA	2.1009	2	19.7
Elona_quimperiana	0.87	E_quimperiana_3	E_quimperiana_3_bleu	0	NA	NA	2.0697	2.11	22.9
Elona_quimperiana	0.87	E_quimperiana_3	E_quimperiana_3_jaune	0	NA	NA	2.3353	2.17	21.5
Elona_quimperiana	0.87	E_quimperiana_3	E_quimperiana_3_noir	0	NA	NA	1.719	1.8	19
Elona_quimperiana	0.87	E_quimperiana_3	E_quimperiana_3_orange	0	NA	NA	1.341	1.68	7.6
Elona_quimperiana	0.87	E_quimperiana_4	E_quimperiana_4_blanc	1	0.12	1.77	2.5404	2.1	24.5
Elona_quimperiana	0.87	E_quimperiana_4	E_quimperiana_4_bleu	0	NA	NA	3.3093	2.23	15.4
Elona_quimperiana	0.87	E_quimperiana_4	E_quimperiana_4_jaune	0	NA	NA	1.7435	1.78	13.4
Elona_quimperiana	0.87	E_quimperiana_4	E_quimperiana_4_noir	1	3.47	0.42	3.1606	2.14	31.7
Elona_quimperiana	0.87	E_quimperiana_4	E_quimperiana_4_orange	1	0.48	1.08	2.7206	2.18	43.1
Eobania_vermiculata	0.67	E_vermiculata_1	E_vermiculata_1_B21	1	2.78	0.55	5.45	2.75	69.9
Eobania_vermiculata	0.67	E_vermiculata_1	E_vermiculata_1_B22	0	NA	NA	8.25	2.95	135.3
Eobania_vermiculata	0.67	E_vermiculata_1	E_vermiculata_1_B23	0	NA	NA	5.39	2.8	69.8
Eobania_vermiculata	0.67	E_vermiculata_1	E_vermiculata_1_B24	0	NA	NA	6.12	2.75	107.7
Eobania_vermiculata	0.67	E_vermiculata_1	E_vermiculata_1_B37	1	4.55	0.34	5.87	2.75	106.5
Eobania_vermiculata	0.67	E_vermiculata_2	E_vermiculata_2_B38	1	3.56	0.23	4.64	2.7	77.4
Eobania_vermiculata	0.67	E_vermiculata_2	E_vermiculata_2_B39	1	5.16	0.33	7.24	2.9	81.5
Eobania_vermiculata	0.67	E_vermiculata_2	E_vermiculata_2_B40	0	NA	NA	6.59	3.1	127.4
Eobania_vermiculata	0.67	E_vermiculata_2	E_vermiculata_2_B41	0	NA	NA	5.84	2.9	51.5
Eobania_vermiculata	0.67	E_vermiculata_2	E_vermiculata_2_B42	0	NA	NA	7.36	2.95	92.8
Eobania_vermiculata	0.67	E_vermiculata_3	E_vermiculata_3_B43	0	NA	NA	7.61	3.1	68.5
Eobania_vermiculata	0.67	E_vermiculata_3	E_vermiculata_3_B45	0	NA	NA	5.1	2.95	62.1
Eobania_vermiculata	0.67	E_vermiculata_3	E_vermiculata_3_B48	0	NA	NA	10.26	3.2	164.1
Eobania_vermiculata	0.67	E_vermiculata_3	E_vermiculata_3_B49	1	0.41	1.81	4.43	2.75	92.3
Eobania_vermiculata	0.67	E_vermiculata_3	E_vermiculata_3_B50	0	NA	NA	6.145	2.95	73.8
Eobania_vermiculata	0.67	E_vermiculata_4	E_vermiculata_4_B52	0	NA	NA	5.03	2.8	69.1
Eobania_vermiculata	0.67	E_vermiculata_4	E_vermiculata_4_B53	0	NA	NA	5.1	2.75	110.6
Eobania_vermiculata	0.67	E_vermiculata_4	E_vermiculata_4_B54	0	NA	NA	5.56	2.65	77.6
Eobania_vermiculata	0.67	E_vermiculata_4	E_vermiculata_4_B55	0	NA	NA	6	2.7	53.5
Eobania_vermiculata	0.67	E_vermiculata_4	E_vermiculata_4_B56	0	NA	NA	6.95	3	92.1
Helix_ligata	0.67	H_ligata_1	H_ligata_1_V73	0	NA	NA	11.16	3	237.2
Helix_ligata	0.67	H_ligata_1	H_ligata_1_V74	0	NA	NA	15.01	3.2	277.3
Helix_ligata	0.67	H_ligata_1	H_ligata_1_V77	0	NA	NA	11.07	2.75	252.5
Helix_ligata	0.67	H_ligata_1	H_ligata_1_V78	0	NA	NA	11.37	2.75	302.9
Helix_ligata	0.67	H_ligata_1	H_ligata_1_V79	1	1.05	0.94	4.69	2.1	48.4
Helix_ligata	0.67	H_ligata_2	H_ligata_2_V80	0	NA	NA	14.18	3.1	336.9
Helix_ligata	0.67	H_ligata_2	H_ligata_2_V81	0	NA	NA	10.93	2.95	216.2
Helix_ligata	0.67	H_ligata_2	H_ligata_2_V82	0	NA	NA	11.07	3	193.2
Helix_ligata	0.67	H_ligata_2	H_ligata_2_V83	0	NA	NA	10.41	3.05	328.2
Helix_ligata	0.67	H_ligata_2	H_ligata_2_V84	0	NA	NA	9.83	2.95	300.8
Helix_ligata	0.67	H_ligata_3	H_ligata_3_V85	0	NA	NA	10.89	2.9	140
Helix_ligata	0.67	H_ligata_3	H_ligata_3_V86	0	NA	NA	18.28	3.45	465.8
Helix_ligata	0.67	H_ligata_3	H_ligata_3_V87	0	NA	NA	13	3.05	448.7
Helix_ligata	0.67	H_ligata_3	H_ligata_3_V88	0	NA	NA	7.38	2.85	150.4
Helix_ligata	0.67	H_ligata_3	H_ligata_3_V89	1	5.42	0.35	8.87	2.55	235.9
Helix_ligata	0.67	H_ligata_4	H_ligata_4_V100	0	NA	NA	12.26	3	264.7
Helix_ligata	0.67	H_ligata_4	H_ligata_4_V92	0	NA	NA	10.95	2.7	229.7
Helix_ligata	0.67	H_ligata_4	H_ligata_4_V93	0	NA	NA	11.84	3	171.7
Helix_ligata	0.67	H_ligata_4	H_ligata_4_V94	0	NA	NA	10.26	2.85	51.9
Helix_ligata	0.67	H_ligata_4	H_ligata_4_V95	1	3.01	0.26	5.56	2.5	106
Helix_lucorum	0.8	H_lucorum_1	H_lucorum_1_V51	1	2.73	0.63	13.47	3.5	327.2
Helix_lucorum	0.8	H_lucorum_1	H_lucorum_1_V53	1	2.08	0.48	17.16	3.6	346.9
Helix_lucorum	0.8	H_lucorum_1	H_lucorum_1_V54	0	NA	NA	14.67	3.6	199.1
Helix_lucorum	0.8	H_lucorum_1	H_lucorum_1_V55	0	NA	NA	23.17	4.1	591.8
Helix_lucorum	0.8	H_lucorum_1	H_lucorum_1_V56	0	NA	NA	19.94	4.3	547.1
Helix_lucorum	0.8	H_lucorum_2	H_lucorum_2_V57	1	3.34	0.4	23.8	4.05	287.3
Helix_lucorum	0.8	H_lucorum_2	H_lucorum_2_V58	0	NA	NA	21.67	4.3	198.9
Helix_lucorum	0.8	H_lucorum_2	H_lucorum_2_V60	0	NA	NA	26.6	4.1	571.6
Helix_lucorum	0.8	H_lucorum_2	H_lucorum_2_V61	0	NA	NA	26.54	3.95	274.4
Helix_lucorum	0.8	H_lucorum_2	H_lucorum_2_V62	0	NA	NA	21.44	3.9	387
Helix_lucorum	0.8	H_lucorum_3	H_lucorum_3_V63	1	0.54	1.86	20.93	4	529.9
Helix_lucorum	0.8	H_lucorum_3	H_lucorum_3_V64	0	NA	NA	21.66	4.1	473.7
Helix_lucorum	0.8	H_lucorum_3	H_lucorum_3_V65	0	NA	NA	17.12	3.7	361.2
Helix_lucorum	0.8	H_lucorum_3	H_lucorum_3_V66	0	NA	NA	24.22	3.8	354.9
Helix_lucorum	0.8	H_lucorum_3	H_lucorum_3_V67	1	2.38	0.42	22.97	4	472.9
Helix_lucorum	0.8	H_lucorum_4	H_lucorum_4_V68	0	NA	NA	25.94	4.1	410.3
Helix_lucorum	0.8	H_lucorum_4	H_lucorum_4_V69	0	NA	NA	24.74	4.45	602.8
Helix_lucorum	0.8	H_lucorum_4	H_lucorum_4_V70	0	NA	NA	23.63	4.15	445.7
Helix_lucorum	0.8	H_lucorum_4	H_lucorum_4_V71	0	NA	NA	21.24	4.15	385
Helix_lucorum	0.8	H_lucorum_4	H_lucorum_4_V72	1	2.23	0.42	25.14	3.9	246.3
Helicodonta_obvoluta	0.8	H_obvulata_1	H_obvulata_1_Bl25	0	NA	NA	0.2075	0.85	1.6
Helicodonta_obvoluta	0.8	H_obvulata_1	H_obvulata_1_I25	0	NA	NA	0.2507	0.95	1.6
Helicodonta_obvoluta	0.8	H_obvulata_1	H_obvulata_1_Ja25	1	0.22	0.95	0.2275	0.85	1.1
Helicodonta_obvoluta	0.8	H_obvulata_1	H_obvulata_1_N25	0	NA	NA	0.3597	0.95	2.8
Helicodonta_obvoluta	0.8	H_obvulata_1	H_obvulata_1_Nn25	0	NA	NA	0.3106	0.95	4.7
Helicodonta_obvoluta	0.8	H_obvulata_5	H_obvulata_5_blanc	0	NA	NA	0.2592	0.91	1.1
Helicodonta_obvoluta	0.8	H_obvulata_5	H_obvulata_5_bleu	0	NA	NA	0.207	0.91	1.5
Helicodonta_obvoluta	0.8	H_obvulata_5	H_obvulata_5_jaune	0	NA	NA	0.2864	0.91	1.6
Helicodonta_obvoluta	0.8	H_obvulata_5	H_obvulata_5_noir	1	0.7	0.62	0.1384	0.91	0.4
Helicodonta_obvoluta	0.8	H_obvulata_5	H_obvulata_5_orange	0	NA	NA	0.1665	0.82	1.5
Helix_pomatia	0.67	H_pomatia_1	H_pomatia_1_B58	1	2.5	0.3	22.263	3.85	629.2
Helix_pomatia	0.67	H_pomatia_1	H_pomatia_1_B65	1	2.97	0.45	15.43	3.55	531.1
Helix_pomatia	0.67	H_pomatia_1	H_pomatia_1_B66	1	1.65	0.65	14.5875	3.45	413.9
Helix_pomatia	0.67	H_pomatia_1	H_pomatia_1_B67	1	3.13	0.45	13.1804	3.3	308.6
Helix_pomatia	0.67	H_pomatia_1	H_pomatia_1_B68	1	1.77	0.58	13.8669	3.25	488.7
Helix_pomatia	0.67	H_pomatia_2	H_pomatia_2_B69	0	NA	NA	25.3826	4.05	629.7
Helix_pomatia	0.67	H_pomatia_2	H_pomatia_2_B70	1	3.96	0.37	19.8861	4.05	253.2
